ko,en
공매도,short selling
기준금리,base interest rate
양적완화,quantitative easing
양도세,capital gains tax
보유세,holding tax
종합부동산세,comprehensive real estate tax
법인세,corporate tax
소비자물가지수,consumer price index
경상수지,current account balance
무역수지,trade balance
실거래가,actual transaction price
코스피,KOSPI
코스닥,KOSDAQ
삼성전자,Samsung Electronics
SK하이닉스,SK Hynix
현대자동차,Hyundai Motor
서울경제,Seoul Economic Daily
서울경제신문,Seoul Economic Daily
영업이익,operating profit
매출액,revenue
순이익,net profit
시가총액,market capitalization
배당금,dividend
주가수익비율,price-to-earnings ratio
주당순이익,earnings per share
부채비율,debt-to-equity ratio
유동비율,current ratio
원달러 환율,KRW/USD exchange rate
기축통화,reserve currency
외환보유고,foreign exchange reserves
국내총생산,gross domestic product
실업률,unemployment rate
고용률,employment rate
최저임금,minimum wage
가계부채,household debt
국가채무,national debt
재정적자,fiscal deficit
인플레이션,inflation
디플레이션,deflation
스태그플레이션,stagflation
금융위원회,Financial Services Commission
한국은행,Bank of Korea
금융감독원,Financial Supervisory Service
국토교통부,Ministry of Land Infrastructure and Transport
기획재정부,Ministry of Economy and Finance
산업통상자원부,Ministry of Trade Industry and Energy
국민연금,National Pension Service
건강보험,National Health Insurance
전세,jeonse (lump-sum deposit lease)
월세,monthly rent
재건축,reconstruction
분양,new apartment sales
청약,housing subscription
LTV,loan-to-value ratio
DSR,debt service ratio
DTI,debt-to-income ratio
반도체,semiconductor
파운드리,foundry
시스템반도체,system semiconductor
HBM,High Bandwidth Memory
메모리반도체,memory semiconductor
D램,DRAM
낸드플래시,NAND flash
인공지능,artificial intelligence
생성형 AI,generative AI
대규모 언어모델,large language model
자율주행,autonomous driving
전기차,electric vehicle
배터리,battery
수소차,hydrogen vehicle
탄소중립,carbon neutrality
ESG,ESG (Environmental Social Governance)
재생에너지,renewable energy
원자력,nuclear energy
대통령,President
국회,National Assembly
여당,ruling party
야당,opposition party
국민의힘,People Power Party
더불어민주당,Democratic Party of Korea
헌법재판소,Constitutional Court
대법원,Supreme Court
검찰,prosecution
